"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"miracle","2","13","170639","913448","0.0684796261806734","less"
"bonuses","2","13","170639","913448","0.0684796261806734","less"
"mill","2","13","170639","913448","0.0684796261806734","less"
"attention","9","64","170632","913397","0.683181614943425","less"
"peter","50","303","170591","913158","0.680236197875638","less"
"difficult","22","125","170619","913336","0.0673735786796699","less"
"earthquake","1","7","170640","913454","0.0673008471219775","less"
"answering","1","7","170640","913454","0.0673008471219775","less"
"justin","1","7","170640","913454","0.0673008471219775","less"
"inviting","1","7","170640","913454","0.0673008471219775","less"
"daunting","1","7","170640","913454","0.0673008471219775","less"
"keenly","1","7","170640","913454","0.0673008471219775","less"
"communism","1","7","170640","913454","0.0673008471219775","less"
"deer","1","7","170640","913454","0.0673008471219775","less"
"continuously","1","7","170640","913454","0.0673008471219775","less"
"spun","1","7","170640","913454","0.0673008471219775","less"
"integrated","1","7","170640","913454","0.0673008471219775","less"
"exploited","1","7","170640","913454","0.0673008471219775","less"
"dresses","1","7","170640","913454","0.0673008471219775","less"
"betty","1","7","170640","913454","0.0673008471219775","less"
"fiance","1","7","170640","913454","0.0673008471219775","less"
"gillian","1","7","170640","913454","0.0673008471219775","less"
"inclusion","1","7","170640","913454","0.0673008471219775","less"
"stalking","1","7","170640","913454","0.0673008471219775","less"
"o'leary","1","7","170640","913454","0.0673008471219775","less"
"s.","1","7","170640","913454","0.0673008471219775","less"
"rhine","1","7","170640","913454","0.0673008471219775","less"
"wrapped","1","7","170640","913454","0.0673008471219775","less"
"compiled","1","7","170640","913454","0.0673008471219775","less"
"predicting","1","7","170640","913454","0.0673008471219775","less"
"fulfilled","1","7","170640","913454","0.0673008471219775","less"
"heir","1","7","170640","913454","0.0673008471219775","less"
"displaying","1","7","170640","913454","0.0673008471219775","less"
"weeds","1","7","170640","913454","0.0673008471219775","less"
"valid","1","7","170640","913454","0.0673008471219775","less"
"rousing","1","7","170640","913454","0.0673008471219775","less"
"anonymous","1","7","170640","913454","0.0673008471219775","less"
"ivan","1","7","170640","913454","0.0673008471219775","less"
"1,200","1","7","170640","913454","0.0673008471219775","less"
"tt","1","7","170640","913454","0.0673008471219775","less"
"steered","1","7","170640","913454","0.0673008471219775","less"
"wry","1","7","170640","913454","0.0673008471219775","less"
"andres","1","7","170640","913454","0.0673008471219775","less"
"barron","1","7","170640","913454","0.0673008471219775","less"
"secretaries","1","7","170640","913454","0.0673008471219775","less"
"non-existent","1","7","170640","913454","0.0673008471219775","less"
"exploitation","1","7","170640","913454","0.0673008471219775","less"
"dense","1","7","170640","913454","0.0673008471219775","less"
"manifesto","1","7","170640","913454","0.0673008471219775","less"
"consult","1","7","170640","913454","0.0673008471219775","less"
"tasted","1","7","170640","913454","0.0673008471219775","less"
"stud","1","7","170640","913454","0.0673008471219775","less"
"textiles","1","7","170640","913454","0.0673008471219775","less"
"len","1","7","170640","913454","0.0673008471219775","less"
"mayhew","1","7","170640","913454","0.0673008471219775","less"
"transit","1","7","170640","913454","0.0673008471219775","less"
"brits","1","7","170640","913454","0.0673008471219775","less"
"labels","1","7","170640","913454","0.0673008471219775","less"
"identical","1","7","170640","913454","0.0673008471219775","less"
"precise","1","7","170640","913454","0.0673008471219775","less"
"norwegian","1","7","170640","913454","0.0673008471219775","less"
"hood","1","7","170640","913454","0.0673008471219775","less"
"cares","1","7","170640","913454","0.0673008471219775","less"
"pursued","1","7","170640","913454","0.0673008471219775","less"
"pence","1","7","170640","913454","0.0673008471219775","less"
"unwanted","1","7","170640","913454","0.0673008471219775","less"
"£1million","1","7","170640","913454","0.0673008471219775","less"
"namely","1","7","170640","913454","0.0673008471219775","less"
"slower","1","7","170640","913454","0.0673008471219775","less"
"marc","1","7","170640","913454","0.0673008471219775","less"
"basically","1","7","170640","913454","0.0673008471219775","less"
"ordering","1","7","170640","913454","0.0673008471219775","less"
"rage","1","7","170640","913454","0.0673008471219775","less"
"richer","1","7","170640","913454","0.0673008471219775","less"
"demonstrating","1","7","170640","913454","0.0673008471219775","less"
"chronic","1","7","170640","913454","0.0673008471219775","less"
"bucks","1","7","170640","913454","0.0673008471219775","less"
"morton","1","7","170640","913454","0.0673008471219775","less"
"wrap","1","7","170640","913454","0.0673008471219775","less"
"£1,500","1","7","170640","913454","0.0673008471219775","less"
"prepares","1","7","170640","913454","0.0673008471219775","less"
"permanently","1","7","170640","913454","0.0673008471219775","less"
"premiership","1","7","170640","913454","0.0673008471219775","less"
"twyford","1","7","170640","913454","0.0673008471219775","less"
"holidaymakers","1","7","170640","913454","0.0673008471219775","less"
"teaches","1","7","170640","913454","0.0673008471219775","less"
"plug","1","7","170640","913454","0.0673008471219775","less"
"carey","1","7","170640","913454","0.0673008471219775","less"
"photographic","1","7","170640","913454","0.0673008471219775","less"
"foremost","1","7","170640","913454","0.0673008471219775","less"
"praying","1","7","170640","913454","0.0673008471219775","less"
"steadily","1","7","170640","913454","0.0673008471219775","less"
"disallowed","1","7","170640","913454","0.0673008471219775","less"
"destinations","1","7","170640","913454","0.0673008471219775","less"
"bbc2","1","7","170640","913454","0.0673008471219775","less"
