"Word","Little","Small","c","d","GStat","Association"
"writing",1,7,36443,31237,6.03373363157242,"small"
"council",3,11,36441,31233,6.1755754648734,"small"
"fall",3,11,36441,31233,6.1755754648734,"small"
"pension",3,11,36441,31233,6.1755754648734,"small"
"platform",3,11,36441,31233,6.1755754648734,"small"
"production",3,11,36441,31233,6.1755754648734,"small"
"office",44,61,36400,31183,6.01255038986926,"small"
"parish",7,17,36437,31227,5.98011925085801,"small"
"basin",2,9,36442,31235,5.96184618111572,"small"
"board",2,9,36442,31235,5.96184618111572,"small"
"forest",2,9,36442,31235,5.96184618111572,"small"
"resource",2,9,36442,31235,5.96184618111572,"small"
"system",2,9,36442,31235,5.96184618111572,"small"
"courtyard",5,14,36439,31230,5.93853377537616,"small"
"river",14,26,36430,31218,5.74358623616291,"small"
"painting",4,12,36440,31232,5.51355543533729,"small"
"panel",4,12,36440,31232,5.51355543533729,"small"
"stuff",4,12,36440,31232,5.51355543533729,"small"
"tool",4,12,36440,31232,5.51355543533729,"small"
"capital",14,25,36430,31219,5.07227680617605,"small"
"compartment",5,13,36439,31231,5.02242900414606,"small"
"cabinet",3,10,36441,31234,5.132066837386,"small"
"organization",3,10,36441,31234,5.132066837386,"small"
"bird",76,92,36368,31152,4.99619918461212,"small"
"contribution",8,17,36436,31227,4.84918618783232,"small"
"dwelling",2,8,36442,31236,4.83846558239605,"small"
"issue",2,8,36442,31236,4.83846558239605,"small"
"legacy",2,8,36442,31236,4.83846558239605,"small"
"loaf",2,8,36442,31236,4.83846558239605,"small"
"loch",2,8,36442,31236,4.83846558239605,"small"
"roman",2,8,36442,31236,4.83846558239605,"small"
"sail",2,8,36442,31236,4.83846558239605,"small"
"kitchen",16,27,36428,31217,4.79649267069794,"small"
"advertisement",1,6,36443,31238,4.77407014192578,"small"
"artery",1,6,36443,31238,4.77407014192578,"small"
"bet",1,6,36443,31238,4.77407014192578,"small"
"cardboard",1,6,36443,31238,4.77407014192578,"small"
"crustacean",1,6,36443,31238,4.77407014192578,"small"
"dining",1,6,36443,31238,4.77407014192578,"small"
"enclave",1,6,36443,31238,4.77407014192578,"small"
"flowerpot",1,6,36443,31238,4.77407014192578,"small"
"lobby",1,6,36443,31238,4.77407014192578,"small"
"mobile",1,6,36443,31238,4.77407014192578,"small"
"nursery",1,6,36443,31238,4.77407014192578,"small"
"plaque",1,6,36443,31238,4.77407014192578,"small"
"shape",1,6,36443,31238,4.77407014192578,"small"
"sheet",1,6,36443,31238,4.77407014192578,"small"
"sherry",1,6,36443,31238,4.77407014192578,"small"
"terminal",1,6,36443,31238,4.77407014192578,"small"
